run_id,user_id,source_type,idempotency_key,request_json,response_json,structured_output_json,status,error,created_at
52a6f27f-9ca6-4f9e-9075-989b1697c483,demo-user,meal_photo,beef-egg-wrap.jpg,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}","{""text"": ""{\n  \""profile_updates\"": [],\n  \""meal_upsert\"": {\n    \""occurred_at\"": null,\n    \""meal_type\"": \""breakfast\"",\n    \""source_image_uri\"": null,\n    \""source_hash\"": null,\n    \""unit_system\"": \""imperial\"",\n    \""notes\"": \""Breakfast tortilla with scrambled eggs, beef, and tomato slices\""\n  },\n  \""meal_items_upsert\"": [\n    {\n      \""food_label\"": \""flour tortilla\"",\n      \""quantity_value\"": 1.0,\n      \""quantity_unit\"": \""piece\"",\n      \""confidence\"": 0.8,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""scrambled eggs\"",\n      \""quantity_value\"": 2.0,\n      \""quantity_unit\"": \""large eggs\"",\n      \""confidence\"": 0.7,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""cooked beef\"",\n      \""quantity_value\"": 2.0,\n      \""quantity_unit\"": \""oz\"",\n      \""confidence\"": 0.6,\n      \""notes\"": \""Appears to be shredded or sliced beef\""\n    },\n    {\n      \""food_label\"": \""tomato slices\"",\n      \""quantity_value\"": 0.5,\n      \""quantity_unit\"": \""cup\"",\n      \""confidence\"": 0.6,\n      \""notes\"": null\n    }\n  ],\n  \""macro_events_insert\"": [\n    {\n      \""calories_kcal\"": 450.0,\n      \""protein_g\"": 28.0,\n      \""carbs_g\"": 35.0,\n      \""fat_g\"": 22.0,\n      \""fiber_g\"": 4.0,\n      \""sugar_g\"": 4.0,\n      \""sodium_mg\"": 650.0,\n      \""confidence\"": 0.5,\n      \""model_name\"": \""vision-meal-estimator\"",\n      \""model_version\"": \""1.0\"",\n      \""prompt_version\"": \""image-meal-v1\"",\n      \""notes\"": \""Estimated from visible ingredients and typical portions\""\n    }\n  ],\n  \""body_metric_events_insert\"": [],\n  \""persistence_ops\"": [\n    {\n      \""operation\"": \""upsert\"",\n      \""target\"": \""meal_events\"",\n      \""idempotency_key\"": null\n    }\n  ]\n}""}","{""profile_updates"": [], ""meal_upsert"": {""occurred_at"": null, ""meal_type"": ""breakfast"", ""source_image_uri"": null, ""source_hash"": null, ""unit_system"": ""imperial"", ""notes"": ""Breakfast tortilla with scrambled eggs, beef, and tomato slices""}, ""meal_items_upsert"": [{""food_label"": ""flour tortilla"", ""quantity_value"": 1.0, ""quantity_unit"": ""piece"", ""confidence"": 0.8, ""notes"": null}, {""food_label"": ""scrambled eggs"", ""quantity_value"": 2.0, ""quantity_unit"": ""large eggs"", ""confidence"": 0.7, ""notes"": null}, {""food_label"": ""cooked beef"", ""quantity_value"": 2.0, ""quantity_unit"": ""oz"", ""confidence"": 0.6, ""notes"": ""Appears to be shredded or sliced beef""}, {""food_label"": ""tomato slices"", ""quantity_value"": 0.5, ""quantity_unit"": ""cup"", ""confidence"": 0.6, ""notes"": null}], ""macro_events_insert"": [{""calories_kcal"": 450.0, ""protein_g"": 28.0, ""carbs_g"": 35.0, ""fat_g"": 22.0, ""fiber_g"": 4.0, ""sugar_g"": 4.0, ""sodium_mg"": 650.0, ""confidence"": 0.5, ""model_name"": ""vision-meal-estimator"", ""model_version"": ""1.0"", ""prompt_version"": ""image-meal-v1"", ""notes"": ""Estimated from visible ingredients and typical portions""}], ""body_metric_events_insert"": [], ""persistence_ops"": [{""operation"": ""upsert"", ""target"": ""meal_events"", ""idempotency_key"": null}]}",completed,NULL,2026-02-22T16:29:53.831810+00:00
ec4d9d08-a4c4-4f03-a4fb-9dd0357a79f1,demo-user,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}","{""text"": ""{\n  \""profile_updates\"": [],\n  \""meal_upsert\"": {\n    \""occurred_at\"": null,\n    \""meal_type\"": \""breakfast\"",\n    \""source_image_uri\"": \""uploaded-image\"",\n    \""source_hash\"": null,\n    \""unit_system\"": \""imperial\"",\n    \""notes\"": \""Flour tortilla with scrambled eggs, cooked beef, and fresh tomato slices\""\n  },\n  \""meal_items_upsert\"": [\n    {\n      \""food_label\"": \""flour tortilla\"",\n      \""quantity_value\"": 1.0,\n      \""quantity_unit\"": \""piece\"",\n      \""confidence\"": 0.8,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""scrambled eggs\"",\n      \""quantity_value\"": 2.0,\n      \""quantity_unit\"": \""large eggs\"",\n      \""confidence\"": 0.7,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""cooked beef\"",\n      \""quantity_value\"": 2.0,\n      \""quantity_unit\"": \""oz\"",\n      \""confidence\"": 0.6,\n      \""notes\"": \""Shredded or sliced beef\""\n    },\n    {\n      \""food_label\"": \""tomato slices\"",\n      \""quantity_value\"": 0.5,\n      \""quantity_unit\"": \""cup\"",\n      \""confidence\"": 0.6,\n      \""notes\"": null\n    }\n  ],\n  \""macro_events_insert\"": [\n    {\n      \""calories_kcal\"": 450.0,\n      \""protein_g\"": 28.0,\n      \""carbs_g\"": 35.0,\n      \""fat_g\"": 22.0,\n      \""fiber_g\"": 4.0,\n      \""sugar_g\"": 4.0,\n      \""sodium_mg\"": 650.0,\n      \""confidence\"": 0.5,\n      \""model_name\"": \""vision-meal-estimator\"",\n      \""model_version\"": \""1.0\"",\n      \""prompt_version\"": \""image-meal-v1\"",\n      \""notes\"": \""Estimated from visible ingredients and typical portions\""\n    }\n  ],\n  \""body_metric_events_insert\"": [],\n  \""persistence_ops\"": [\n    {\n      \""operation\"": \""upsert\"",\n      \""target\"": \""meal_events\"",\n      \""idempotency_key\"": null\n    }\n  ]\n}""}","{""profile_updates"": [], ""meal_upsert"": {""occurred_at"": null, ""meal_type"": ""breakfast"", ""source_image_uri"": ""uploaded-image"", ""source_hash"": null, ""unit_system"": ""imperial"", ""notes"": ""Flour tortilla with scrambled eggs, cooked beef, and fresh tomato slices""}, ""meal_items_upsert"": [{""food_label"": ""flour tortilla"", ""quantity_value"": 1.0, ""quantity_unit"": ""piece"", ""confidence"": 0.8, ""notes"": null}, {""food_label"": ""scrambled eggs"", ""quantity_value"": 2.0, ""quantity_unit"": ""large eggs"", ""confidence"": 0.7, ""notes"": null}, {""food_label"": ""cooked beef"", ""quantity_value"": 2.0, ""quantity_unit"": ""oz"", ""confidence"": 0.6, ""notes"": ""Shredded or sliced beef""}, {""food_label"": ""tomato slices"", ""quantity_value"": 0.5, ""quantity_unit"": ""cup"", ""confidence"": 0.6, ""notes"": null}], ""macro_events_insert"": [{""calories_kcal"": 450.0, ""protein_g"": 28.0, ""carbs_g"": 35.0, ""fat_g"": 22.0, ""fiber_g"": 4.0, ""sugar_g"": 4.0, ""sodium_mg"": 650.0, ""confidence"": 0.5, ""model_name"": ""vision-meal-estimator"", ""model_version"": ""1.0"", ""prompt_version"": ""image-meal-v1"", ""notes"": ""Estimated from visible ingredients and typical portions""}], ""body_metric_events_insert"": [], ""persistence_ops"": [{""operation"": ""upsert"", ""target"": ""meal_events"", ""idempotency_key"": null}]}",completed,NULL,2026-02-22T16:32:13.191412+00:00
7e756d71-ddc6-459d-8c5b-e1e9e3c874c9,demo-user,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}",NULL,NULL,started,NULL,2026-02-22T16:35:44.689193+00:00
5c698095-8a91-4ef5-92ad-ce6c0c93e4d3,roy,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}","{""text"": ""{\n  \""profile_updates\"": [],\n  \""meal_upsert\"": {\n    \""occurred_at\"": null,\n    \""meal_type\"": null,\n    \""source_image_uri\"": null,\n    \""source_hash\"": null,\n    \""unit_system\"": null,\n    \""notes\"": null\n  },\n  \""meal_items_upsert\"": [],\n  \""macro_events_insert\"": [],\n  \""body_metric_events_insert\"": [],\n  \""persistence_ops\"": []\n}""}","{""profile_updates"": [], ""meal_upsert"": {""occurred_at"": null, ""meal_type"": null, ""source_image_uri"": null, ""source_hash"": null, ""unit_system"": null, ""notes"": null}, ""meal_items_upsert"": [], ""macro_events_insert"": [], ""body_metric_events_insert"": [], ""persistence_ops"": []}",completed,NULL,2026-02-22T16:38:33.868500+00:00
c5671247-ab24-4a43-ad0f-5dc14b348109,roy,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}","{""text"": ""{\n  \""profile_updates\"": [],\n  \""meal_upsert\"": {\n    \""occurred_at\"": null,\n    \""meal_type\"": null,\n    \""source_image_uri\"": null,\n    \""source_hash\"": null,\n    \""unit_system\"": null,\n    \""notes\"": null\n  },\n  \""meal_items_upsert\"": [\n    {\n      \""food_label\"": \""flour tortilla\"",\n      \""quantity_value\"": 0.0,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.85,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""scrambled eggs\"",\n      \""quantity_value\"": 0.0,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.85,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""cooked beef\"",\n      \""quantity_value\"": 0.0,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.8,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""tomato slices\"",\n      \""quantity_value\"": 0.0,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.9,\n      \""notes\"": null\n    }\n  ],\n  \""macro_events_insert\"": [],\n  \""body_metric_events_insert\"": [],\n  \""persistence_ops\"": []\n}""}","{""profile_updates"": [], ""meal_upsert"": {""occurred_at"": null, ""meal_type"": null, ""source_image_uri"": null, ""source_hash"": null, ""unit_system"": null, ""notes"": null}, ""meal_items_upsert"": [{""food_label"": ""flour tortilla"", ""quantity_value"": 0.0, ""quantity_unit"": null, ""confidence"": 0.85, ""notes"": null}, {""food_label"": ""scrambled eggs"", ""quantity_value"": 0.0, ""quantity_unit"": null, ""confidence"": 0.85, ""notes"": null}, {""food_label"": ""cooked beef"", ""quantity_value"": 0.0, ""quantity_unit"": null, ""confidence"": 0.8, ""notes"": null}, {""food_label"": ""tomato slices"", ""quantity_value"": 0.0, ""quantity_unit"": null, ""confidence"": 0.9, ""notes"": null}], ""macro_events_insert"": [], ""body_metric_events_insert"": [], ""persistence_ops"": []}",completed,NULL,2026-02-22T16:39:02.848708+00:00
e492ed3c-dafc-4a96-8a9e-8eaefc6af72f,roy,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}",NULL,NULL,failed,'coroutine' object has no attribute 'service_thread_id',2026-02-22T16:41:06.343073+00:00
dffd174e-b565-4b9d-8294-31f99f77e5fd,roy,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}",NULL,NULL,failed,'coroutine' object has no attribute 'service_thread_id',2026-02-22T16:41:17.425852+00:00
d443751a-8e62-4e57-84c6-bc34327363d2,roy,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}",NULL,NULL,failed,'coroutine' object has no attribute 'service_thread_id',2026-02-22T16:41:40.245819+00:00
b434d0fb-206f-449f-9a59-81c6b590ad8c,demo-user,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}",NULL,NULL,started,NULL,2026-02-22T16:44:07.243536+00:00
3312d922-aa8d-4c13-ba61-80e0be000682,roy,meal_photo,NULL,"{""image_path"": ""food-images/beef-egg-wrap.jpg"", ""mime_type"": ""image/jpeg""}","{""text"": ""{\n  \""profile_updates\"": [],\n  \""meal_upsert\"": {\n    \""occurred_at\"": null,\n    \""meal_type\"": null,\n    \""source_image_uri\"": null,\n    \""source_hash\"": null,\n    \""unit_system\"": null,\n    \""notes\"": null\n  },\n  \""meal_items_upsert\"": [\n    {\n      \""food_label\"": \""flour tortilla\"",\n      \""quantity_value\"": null,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.85,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""scrambled eggs\"",\n      \""quantity_value\"": null,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.85,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""cooked beef\"",\n      \""quantity_value\"": null,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.8,\n      \""notes\"": null\n    },\n    {\n      \""food_label\"": \""tomato slices\"",\n      \""quantity_value\"": null,\n      \""quantity_unit\"": null,\n      \""confidence\"": 0.9,\n      \""notes\"": null\n    }\n  ],\n  \""macro_events_insert\"": [],\n  \""body_metric_events_insert\"": [],\n  \""persistence_ops\"": []\n}""}","{""profile_updates"": [], ""meal_upsert"": {""occurred_at"": null, ""meal_type"": null, ""source_image_uri"": null, ""source_hash"": null, ""unit_system"": null, ""notes"": null}, ""meal_items_upsert"": [{""food_label"": ""flour tortilla"", ""quantity_value"": null, ""quantity_unit"": null, ""confidence"": 0.85, ""notes"": null}, {""food_label"": ""scrambled eggs"", ""quantity_value"": null, ""quantity_unit"": null, ""confidence"": 0.85, ""notes"": null}, {""food_label"": ""cooked beef"", ""quantity_value"": null, ""quantity_unit"": null, ""confidence"": 0.8, ""notes"": null}, {""food_label"": ""tomato slices"", ""quantity_value"": null, ""quantity_unit"": null, ""confidence"": 0.9, ""notes"": null}], ""macro_events_insert"": [], ""body_metric_events_insert"": [], ""persistence_ops"": []}",completed,NULL,2026-02-22T16:44:49.631723+00:00
